"","country","code","corruption","rule_of_law","regulatory_quality","gov_effectiveness","political_stability","voice_accountability"
"1","Yemen, Rep.","YEM",0.818539142608643,0.726653575897217,0.83607017993927,0.22057843208313,-0.268294334411621,0.733993291854858
"2","Syrian Arab Republic","SYR",0.811447262763977,0.423936605453491,0.742096543312073,0.788720726966858,-0.227996349334717,0.520124793052673
"3","Afghanistan","AFG",1.09892439842224,0.786473035812378,1.37944459915161,1.03612506389618,-0.149406671524048,1.51196771860123
"4","Libya","LBY",0.896363377571106,0.651945948600769,0.153052568435669,0.577856659889221,-0.0657525062561035,1.04166531562805
"5","Iraq","IRQ",1.16334593296051,0.777536630630493,1.32003152370453,1.16372954845428,-0.064838171005249,1.55452060699463
"6","South Sudan","SSD",0.72627580165863,0.530275583267212,0.451035261154175,0.0484447479248047,-0.0589020252227783,0.525191426277161
"7","Somalia","SOM",0.790036797523499,0.149641752243042,0.296867847442627,0.262850999832153,0.116773366928101,0.664726376533508
"8","Pakistan","PAK",1.65325933694839,1.83242130279541,1.85552108287811,1.82299530506134,0.253664255142212,1.65664923191071
"9","Central African Republic","CAF",1.27156007289886,0.77161431312561,1.12718760967255,0.752799034118652,0.317032337188721,1.29835391044617
"10","Mali","MLI",1.80335652828217,1.66576641798019,1.92681401968002,1.44355583190918,0.346563816070557,2.08590051531792
"11","West Bank and Gaza","WBG",2.24042588472366,2.01451990008354,2.53381555527449,1.75591540336609,0.55792248249054,1.49181151390076
"12","Nigeria","NGA",1.4050520658493,1.60201787948608,1.63901484012604,1.41136646270752,0.565326452255249,2.08700397610664
"13","Congo, Dem. Rep.","ZAR",0.961068630218506,0.713912487030029,0.990333199501038,0.872571468353271,0.6919926404953,1.13403427600861
"14","Iran, Islamic Rep.","IRN",1.45203948020935,1.75062787532806,1.07686269283295,1.94649755954742,0.801849365234375,1.12994563579559
"15","Sudan","SDN",1.13301503658295,1.35952651500702,0.826165676116943,0.878095269203186,0.826385855674744,0.86403214931488
"16","Burundi","BDI",1.04153025150299,1.06809532642365,1.55046111345291,1.17367839813232,0.850970387458801,0.791796326637268
"17","Lebanon","LBN",1.33978676795959,1.64171987771988,2.07440784573555,1.66719752550125,0.861259818077087,2.00566831231117
"18","Cameroon","CMR",1.29133796691895,1.38109147548676,1.67299520969391,1.68785345554352,0.944716691970825,1.30538964271545
"19","Ukraine","UKR",1.79040282964706,1.80164855718613,2.24132990837097,2.20341747999191,0.976130366325378,2.5552377961576
"20","Venezuela, RB","VEN",0.99015998840332,0.179946422576904,0.140884160995483,0.841693043708801,1.05451512336731,1.09056913852692
"21","Niger","NER",1.94583374261856,1.96706879138947,1.83129554986954,1.69893831014633,1.09696161746979,1.93463110923767
"22","Turkey","TUR",2.20902994275093,2.2170367538929,2.49268310703337,2.54838597029448,1.15717077255249,1.6852970123291
"23","Chad","TCD",1.07943332195282,1.216641664505,1.38075172901154,0.931596159934998,1.15997564792633,1.08227026462555
"24","Ethiopia","ETH",2.09353494644165,2.02652180194855,1.61102908849716,1.86542272567749,1.22040331363678,1.45387482643127
"25","Myanmar","MMR",1.87480449676514,1.43721616268158,1.73960715532303,1.3501307964325,1.23823273181915,1.66222679615021
"26","Burkina Faso","BFA",2.31134383380413,2.07374089956284,2.12350797653198,1.74148911237717,1.31138241291046,2.31990931928158
"27","Kenya","KEN",1.72275376319885,2.04568228125572,2.22296252846718,2.11673113703728,1.37633609771729,2.20947933197021
"28","Egypt, Arab Rep.","EGY",1.82978695631027,2.0791540145874,1.67223399877548,2.07646232843399,1.43357944488525,1.0713267326355
"29","Nicaragua","NIC",1.37815630435944,1.3243100643158,1.81094187498093,1.72912561893463,1.465172290802,1.42291033267975
"30","Algeria","DZA",1.87815022468567,1.68453621864319,1.1966210603714,1.98382544517517,1.4964245557785,1.46232116222382
"31","Côte d'Ivoire","CIV",1.97492772340775,1.93309342861176,2.25713688135147,2.01741203665733,1.53764396905899,2.27742613852024
"32","Zimbabwe","ZWE",1.26120448112488,1.24299108982086,1.03680050373077,1.29466283321381,1.5798214673996,1.35812520980835
"33","Bangladesh","BGD",1.50619035959244,1.86369162797928,1.57104569673538,1.76076990365982,1.5818265080452,1.77822458744049
"34","Colombia","COL",2.27083294093609,2.08307114243507,2.89661210775375,2.57122322171926,1.59974598884583,2.7294834703207
"35","Congo, Rep.","COG",1.09045302867889,1.35029065608978,1.20056402683258,1.11229336261749,1.60730087757111,1.23826813697815
"36","Philippines","PHL",1.92665445804596,2.02269929647446,2.50930815935135,2.55296817049384,1.61503428220749,2.53018424473703
"37","Tunisia","TUN",2.42294953018427,2.5622186884284,2.06279477477074,2.39772611111403,1.66746366024017,2.78140565752983
"38","Guinea","GIN",1.59503489732742,1.29097247123718,1.73017907142639,1.72125416994095,1.66935950517654,1.75146251916885
"39","Papua New Guinea","PNG",1.50836181640625,1.69902694225311,1.95745360851288,1.69132095575333,1.67389279603958,2.57404211163521
"40","Togo","TGO",1.75028324127197,1.91120332479477,1.82101827859879,1.58266532421112,1.69460695981979,1.77907228469849
"41","Israel","ISR",3.3059543967247,3.54759013652802,3.78099524974823,3.82565200328827,1.72147685289383,3.18698638677597
"42","Haiti","HTI",1.16081738471985,1.52889859676361,1.23932778835297,0.484611511230469,1.72211223840714,1.77367758750916
"43","Mozambique","MOZ",1.69898545742035,1.47981560230255,1.77523565292358,1.6767104268074,1.75456142425537,1.99176532030106
"44","Eritrea","ERI",1.10523343086243,0.904504299163818,0.225081920623779,0.742631316184998,1.78045010566711,0.306790590286255
"45","Mexico","MEX",1.67891991138458,1.84189641475677,2.60367979109287,2.34299160540104,1.78542900085449,2.51832827739418
"46","India","IND",2.26674604415894,2.46924160048366,2.33944429457188,2.67155437171459,1.79723161458969,2.7939892411232
"47","Azerbaijan","AZE",1.63159275054932,1.92272967100143,2.27335871756077,2.36082318425179,1.81886899471283,1.00821208953857
"48","Bahrain","BHR",2.48978197854012,2.99437779188156,2.98509851098061,2.79876098036766,1.83848202228546,1.08741569519043
"49","Uganda","UGA",1.33437430858612,2.18538877367973,2.12577560544014,1.91479986906052,1.8542115688324,1.87616038322449
"50","Bolivia","BOL",1.75781065225601,1.37861132621765,1.50659382343292,1.80078202486038,1.88464534282684,2.40876391530037
"51","Tajikistan","TJK",1.17882740497589,1.27205872535706,1.48893451690674,1.45099461078644,1.92485189437866,0.670406579971313
"52","Guinea-Bissau","GNB",1.04601395130157,1.235955119133,1.2666654586792,0.985558867454529,1.93736797571182,2.04129266738892
"53","Brazil","BRA",2.16600152850151,2.31909602880478,2.32220600545406,2.31326204538345,1.95351886749268,2.84442514181137
"54","Guatemala","GTM",1.60157960653305,1.44771122932434,2.27500735223293,1.82315915822983,1.95380908250809,2.18654584884644
